"","race","period","sex","age","foi_mean","foi_cri_lb","foi_cri_ub"
"603","Non-Hispanic Black",1991,"Male",97,0.000373902765761157,0.000136654805729003,0.000921210942736357
"604","Non-Hispanic Black",1991,"Male",98,0.000353358799939047,0.000127717131999823,0.000877636618100185
"605","Non-Hispanic Black",1991,"Male",99,0.00033394891982922,0.000119362979911006,0.000836087829054022
"606","Non-Hispanic Black",1991,"Male",100,0.000315610553977525,0.00011131366499633,0.000796473712534901
"607","Non-Hispanic Black",1992,"Female",0,0.0331463444926044,0.0277905021141011,0.0397842851634207
"608","Non-Hispanic Black",1992,"Female",1,0.032695812494431,0.0274259067880672,0.0391950311185753
"609","Non-Hispanic Black",1992,"Female",2,0.0322365759837851,0.0270558831604262,0.0385769085639638
"610","Non-Hispanic Black",1992,"Female",3,0.0317689089612906,0.0266901908705123,0.0379448053838348
"611","Non-Hispanic Black",1992,"Female",4,0.0312931153662453,0.0263136607553511,0.0372992219250083
"612","Non-Hispanic Black",1992,"Female",5,0.0308095288503955,0.0259572760198205,0.0366407213655635
"613","Non-Hispanic Black",1992,"Female",6,0.0303185123370927,0.0255845840014744,0.0359957162787344
"614","Non-Hispanic Black",1992,"Female",7,0.0298204573593275,0.0252050874455975,0.0353377827508449
"615","Non-Hispanic Black",1992,"Female",8,0.0293157831727359,0.0248263894043745,0.0346916802079978
"616","Non-Hispanic Black",1992,"Female",9,0.0288049356425078,0.0244276334727496,0.0340429921285613
"617","Non-Hispanic Black",1992,"Female",10,0.028288385906142,0.0240399625516189,0.0333846064699154
"618","Non-Hispanic Black",1992,"Female",11,0.027766628817142,0.0236547268780947,0.0326759238114447
"619","Non-Hispanic Black",1992,"Female",12,0.027240181177951,0.0232559797927186,0.0319627925784356
"620","Non-Hispanic Black",1992,"Female",13,0.0267095797736329,0.0228470779924443,0.0312647745066482
"621","Non-Hispanic Black",1992,"Female",14,0.0261753792209291,0.0224520532143847,0.030560021049102
"622","Non-Hispanic Black",1992,"Female",15,0.0256381496502944,0.022055136689214,0.0298603778811778
"623","Non-Hispanic Black",1992,"Female",16,0.02509847424126,0.0216425941747212,0.0291577092103414
"624","Non-Hispanic Black",1992,"Female",17,0.0245569466339196,0.0212311019641687,0.0284515242124512
"625","Non-Hispanic Black",1992,"Female",18,0.0240141682414254,0.0208329453242451,0.0277428067366479
"626","Non-Hispanic Black",1992,"Female",19,0.0234707454900463,0.0204131649221278,0.0270325549140113
"627","Non-Hispanic Black",1992,"Female",20,0.0229272870145576,0.0199819175461531,0.0263217755659219
"628","Non-Hispanic Black",1992,"Female",21,0.0223844008374459,0.0195655480002038,0.0256113008224682
"629","Non-Hispanic Black",1992,"Female",22,0.0218426915606194,0.0191423473511512,0.0249159929900059
"630","Non-Hispanic Black",1992,"Female",23,0.0213027575980056,0.0187203873951055,0.0242307236351358
"631","Non-Hispanic Black",1992,"Female",24,0.0207651884766039,0.0183030235375671,0.0235184977570088
"632","Non-Hispanic Black",1992,"Female",25,0.0202305622322649,0.0178847277142176,0.0228069167651865
"633","Non-Hispanic Black",1992,"Female",26,0.0196994429247299,0.0174777133892879,0.0220871900964409
"634","Non-Hispanic Black",1992,"Female",27,0.0191723782943322,0.017073229842205,0.0213865404457003
"635","Non-Hispanic Black",1992,"Female",28,0.0186498975802912,0.0166682894322221,0.0207365709184344
"636","Non-Hispanic Black",1992,"Female",29,0.0181325095177938,0.0162482091754096,0.0201275190821751
"637","Non-Hispanic Black",1992,"Female",30,0.0176207005281146,0.0158286881060241,0.0195924346853875
"638","Non-Hispanic Black",1992,"Female",31,0.0171149331129658,0.0154281417767383,0.0190911660982039
"639","Non-Hispanic Black",1992,"Female",32,0.0166156444611411,0.0150194467472705,0.0186424441415207
"640","Non-Hispanic Black",1992,"Female",33,0.0161232452724155,0.0146137120782925,0.0181951645071016
"641","Non-Hispanic Black",1992,"Female",34,0.0156381188006371,0.0142066540350544,0.0177525872332065
"642","Non-Hispanic Black",1992,"Female",35,0.0151606201150593,0.0137767078363651,0.0173122088648916
"643","Non-Hispanic Black",1992,"Female",36,0.0146910755762672,0.0133352661346726,0.0168732453668565
"644","Non-Hispanic Black",1992,"Female",37,0.0142297825205862,0.0128832278034372,0.0164423631756101
"645","Non-Hispanic Black",1992,"Female",38,0.0137770091446662,0.0124551025061532,0.0160136274498475
"646","Non-Hispanic Black",1992,"Female",39,0.0133329945800213,0.0120071518195016,0.0155911177000942
"647","Non-Hispanic Black",1992,"Female",40,0.0128979491457028,0.0115751906313354,0.015180850056106
"648","Non-Hispanic Black",1992,"Female",41,0.0124720547659847,0.011166549465654,0.0147799114055401
"649","Non-Hispanic Black",1992,"Female",42,0.0120554655389516,0.010754809299765,0.0143871982980684
"650","Non-Hispanic Black",1992,"Female",43,0.011648308441186,0.0103515964587108,0.0140140762366596
"651","Non-Hispanic Black",1992,"Female",44,0.0112506841533394,0.00993975525375464,0.0136297508962619
"652","Non-Hispanic Black",1992,"Female",45,0.0108626679912222,0.00955408058380489,0.0132722662751712
"653","Non-Hispanic Black",1992,"Female",46,0.0104843109271362,0.00917520582649606,0.012898915031873
"654","Non-Hispanic Black",1992,"Female",47,0.0101156406864673,0.00880245302170275,0.0125467641020362
"655","Non-Hispanic Black",1992,"Female",48,0.00975666290504034,0.0084498665419038,0.0122011102801131
"656","Non-Hispanic Black",1992,"Female",49,0.00940736233337071,0.0080868638402569,0.0118505816959387
"657","Non-Hispanic Black",1992,"Female",50,0.00906770407470607,0.00774035268630554,0.011510224099668
"658","Non-Hispanic Black",1992,"Female",51,0.00873763484461168,0.00740480455340814,0.0111775390484848
"659","Non-Hispanic Black",1992,"Female",52,0.00841708424078033,0.00708171251584605,0.0108618989885261
"660","Non-Hispanic Black",1992,"Female",53,0.00810596601272673,0.00675929444243125,0.0105553872353941
"661","Non-Hispanic Black",1992,"Female",54,0.00780417932202992,0.00644866022221333,0.0102415537526009
"662","Non-Hispanic Black",1992,"Female",55,0.00751160998479776,0.00614417057674129,0.0099403661902228
"663","Non-Hispanic Black",1992,"Female",56,0.00722813168902856,0.00586010699175821,0.00964580916797966
"664","Non-Hispanic Black",1992,"Female",57,0.00695360718052161,0.00559188704614377,0.00935060417473064
"665","Non-Hispanic Black",1992,"Female",58,0.00668788941192874,0.00534605265450138,0.00907124913546607
"666","Non-Hispanic Black",1992,"Female",59,0.00643082265043452,0.00508974722389672,0.00879563631960564
"667","Non-Hispanic Black",1992,"Female",60,0.00618224354039514,0.0048520083594178,0.00852032971027243
"668","Non-Hispanic Black",1992,"Female",61,0.00594198211805088,0.00462045637927881,0.00825274080168271
"669","Non-Hispanic Black",1992,"Female",62,0.00570986277615025,0.00439308439533106,0.00798825099820977
"670","Non-Hispanic Black",1992,"Female",63,0.00548570517698419,0.00417884623635884,0.00773398316277854
"671","Non-Hispanic Black",1992,"Female",64,0.00526932511292522,0.00397244958561285,0.0074853370571715
"672","Non-Hispanic Black",1992,"Female",65,0.00506053531409958,0.00378013218732572,0.00724256532032839
"673","Non-Hispanic Black",1992,"Female",66,0.0048591462032923,0.0035944502181569,0.00700748855647778
"674","Non-Hispanic Black",1992,"Female",67,0.00466496659859775,0.00341710943572202,0.00677985018763836
"675","Non-Hispanic Black",1992,"Female",68,0.00447780436468421,0.00325130863274918,0.00656121847401211
"676","Non-Hispanic Black",1992,"Female",69,0.0042974670138445,0.00308815434364518,0.0063483230849213
"677","Non-Hispanic Black",1992,"Female",70,0.00412376225825814,0.00292893056831518,0.00614037906062462
"678","Non-Hispanic Black",1992,"Female",71,0.00395649851509903,0.00277884120783236,0.00593608100704734
"679","Non-Hispanic Black",1992,"Female",72,0.00379548536628911,0.00263830275068655,0.00573742416265234
"680","Non-Hispanic Black",1992,"Female",73,0.00364053397482691,0.0025071967105363,0.00554432949823127
"681","Non-Hispanic Black",1992,"Female",74,0.00349145745971512,0.00238226222930093,0.00535671375307249
"682","Non-Hispanic Black",1992,"Female",75,0.00334807123157521,0.00226329565396613,0.00517448986113047
"683","Non-Hispanic Black",1992,"Female",76,0.00321019329107525,0.00214526552649656,0.00499756736306199
"684","Non-Hispanic Black",1992,"Female",77,0.00307764449231137,0.00203570017221242,0.00482585280318873
"685","Non-Hispanic Black",1992,"Female",78,0.00295024877327699,0.00193337739825581,0.00465925011062229
"686","Non-Hispanic Black",1992,"Female",79,0.00282783335553137,0.00183579610197259,0.00449598907133736
"687","Non-Hispanic Black",1992,"Female",80,0.00271022891514049,0.00173927176408064,0.00433696336949715
"688","Non-Hispanic Black",1992,"Female",81,0.0025972697269136,0.00164948350501448,0.00418293859260012
"689","Non-Hispanic Black",1992,"Female",82,0.00248879378389858,0.00156288130712855,0.00403374718007452
"690","Non-Hispanic Black",1992,"Female",83,0.00238464289403124,0.00148053665462796,0.00388970918256641
"691","Non-Hispanic Black",1992,"Female",84,0.00228466275575938,0.0014043485107199,0.00375169263048528
"692","Non-Hispanic Black",1992,"Female",85,0.00218870301438375,0.00133322158109082,0.00361808186402655
"693","Non-Hispanic Black",1992,"Female",86,0.00209661730077584,0.00126480376989147,0.00348877080488497
"694","Non-Hispanic Black",1992,"Female",87,0.00200826325404846,0.00119869641598444,0.00336365345153806
"695","Non-Hispanic Black",1992,"Female",88,0.00192350252966997,0.00113597112616889,0.00324262409107145
"696","Non-Hispanic Black",1992,"Female",89,0.00184220079442794,0.00107646234260283,0.00312557749504692
"697","Non-Hispanic Black",1992,"Female",90,0.00176422770956371,0.00101981210747827,0.00301240909990915
"698","Non-Hispanic Black",1992,"Female",91,0.00168945690331604,0.000965487268915935,0.00290301517246606
"699","Non-Hispanic Black",1992,"Female",92,0.00161776593403109,0.000915661250030444,0.00279729296100777
"700","Non-Hispanic Black",1992,"Female",93,0.00154903624491696,0.000867532841862961,0.0026951408326529
"701","Non-Hispanic Black",1992,"Female",94,0.00148315311144451,0.000821871507918683,0.00259645839752797
"702","Non-Hispanic Black",1992,"Female",95,0.00142000558232333,0.000778609356404112,0.00250114662039672
"703","Non-Hispanic Black",1992,"Female",96,0.00135948641491074,0.000738512724236305,0.00240910792036228
"704","Non-Hispanic Black",1992,"Female",97,0.00130149200584519,0.000700453611772819,0.00232016791374556
"705","Non-Hispanic Black",1992,"Female",98,0.00124592231763131,0.000664188430958023,0.00223407601167563
"706","Non-Hispanic Black",1992,"Female",99,0.00119268080184345,0.000629963172787204,0.00215099669210856
"707","Non-Hispanic Black",1992,"Female",100,0.00114167431955775,0.000597481599062018,0.00207083785949489
"708","Non-Hispanic Black",1992,"Male",0,0.0394088178186657,0.0318103394366874,0.0500304337763327
"709","Non-Hispanic Black",1992,"Male",1,0.0388203687231217,0.0313109145657359,0.0493338726783266
"710","Non-Hispanic Black",1992,"Male",2,0.0382181604239278,0.0308038235334983,0.0486125329663841
"711","Non-Hispanic Black",1992,"Male",3,0.0376026173053363,0.0302894705074155,0.0478666100520131
"712","Non-Hispanic Black",1992,"Male",4,0.0369742224124111,0.0297682878337259,0.0470964159297662
"713","Non-Hispanic Black",1992,"Male",5,0.0363335172941759,0.0292407349361407,0.0463023847947942
"714","Non-Hispanic Black",1992,"Male",6,0.0356811013424214,0.0287072969978761,0.0454850777194934
"715","Non-Hispanic Black",1992,"Male",7,0.0350176306055492,0.0281684834315542,0.0446451862287122
